time,angSpeedX,angSpeedY,angSpeedZ,accelX,accelY,accelZ,magnetX,magnetY,magnetZ,altitude,latitude,longitude,state
862.08,0.02,-0.01,-0.09,9.41,0.47,0.00,-44.27,20.91,-3.88,0.20,0.000000,0.000000,0
862.29,0.01,-0.01,-0.09,9.41,0.94,0.00,-44.27,21.00,-3.98,0.68,0.000000,0.000000,0
862.51,0.02,-0.01,-0.09,9.41,0.94,-0.47,-44.55,21.00,-3.98,0.97,0.000000,0.000000,0
862.72,0.02,-0.01,-0.09,9.41,0.94,-0.94,-44.18,21.27,-3.78,0.58,0.000000,0.000000,0
862.93,0.02,-0.01,-0.09,9.89,0.47,-0.47,-44.09,20.91,-3.98,0.68,0.000000,0.000000,0
863.14,0.01,-0.01,-0.09,9.41,0.47,0.00,-44.27,21.00,-3.78,0.39,0.000000,0.000000,0
863.36,0.01,-0.01,-0.09,9.41,0.94,0.47,-44.18,21.09,-3.88,0.10,0.000000,0.000000,0
863.57,0.02,-0.01,-0.09,9.41,0.47,-0.47,-44.18,20.91,-3.98,0.39,0.000000,0.000000,0
863.78,0.02,-0.01,-0.09,9.41,0.94,0.00,-44.55,21.09,-3.88,0.68,0.000000,0.000000,0
863.99,0.01,-0.01,-0.09,9.41,0.47,0.00,-44.27,21.36,-3.88,-0.10,0.000000,0.000000,0
864.20,0.02,-0.01,-0.09,9.41,0.47,0.00,-44.36,21.18,-3.88,0.20,0.000000,0.000000,0
864.41,0.01,-0.01,-0.09,9.41,0.47,0.00,-44.45,21.27,-4.08,0.20,0.000000,0.000000,0
864.63,0.02,-0.01,-0.09,9.41,0.94,-0.47,-44.27,20.91,-3.98,-0.10,0.000000,0.000000,0
864.84,0.02,-0.01,-0.09,9.41,0.47,0.00,-44.18,21.09,-3.98,-1.07,0.000000,0.000000,0
865.05,0.02,-0.01,-0.09,9.41,0.94,1.41,-44.27,20.82,-3.78,0.10,0.000000,0.000000,0
865.26,0.02,-0.01,-0.09,8.94,0.47,0.00,-44.45,21.09,-3.98,0.00,0.000000,0.000000,0
865.48,0.01,-0.01,-0.09,8.94,0.47,-0.94,-43.91,21.09,-3.98,0.39,0.000000,0.000000,0
865.69,0.02,-0.01,-0.09,9.41,0.94,-0.47,-44.27,20.82,-3.78,0.58,0.000000,0.000000,0
865.90,0.01,-0.00,-0.09,14.59,2.82,0.94,-44.27,20.91,-3.78,0.58,0.000000,0.000000,0
866.11,0.03,-0.01,-0.09,8.94,0.00,0.00,-44.36,21.00,-3.88,0.68,0.000000,0.000000,0
866.33,0.07,-0.01,-0.11,81.91,-1.41,3.30,-44.00,21.09,-4.08,1.65,0.000000,0.000000,0
866.54,0.57,-0.08,0.18,70.61,0.47,1.88,-42.36,22.09,-3.16,5.92,0.000000,0.000000,0
866.75,1.36,-0.04,-0.18,80.49,0.47,-1.41,-43.91,17.91,-6.94,10.09,0.000000,0.000000,0
866.97,1.59,-0.11,-0.03,81.91,0.00,0.00,-43.36,13.09,-9.49,17.37,0.000000,0.000000,0
867.18,1.76,-0.11,0.12,82.38,-0.47,0.94,-43.64,8.73,-9.69,26.90,0.000000,0.000000,0
867.39,1.69,-0.09,0.12,82.85,0.94,0.94,-43.64,5.27,-9.29,44.12,0.000000,0.000000,0
867.61,1.79,-0.22,-0.12,86.61,0.94,0.94,-44.27,2.09,-7.14,63.62,0.000000,0.000000,0
867.82,1.76,-0.40,-0.36,87.55,0.94,0.47,-45.36,-2.73,-1.12,77.97,0.000000,0.000000,0
868.03,2.20,-0.37,-0.33,85.67,0.47,0.94,-44.64,-6.91,11.12,98.02,0.000000,0.000000,0
868.25,3.04,-0.07,-0.33,84.73,0.94,1.88,-44.09,-3.36,20.61,124.78,0.000000,0.000000,0
868.46,3.46,-0.05,-0.48,81.43,0.47,2.35,-44.27,4.64,26.02,144.91,0.000000,0.000000,0
868.67,4.00,-0.05,-0.29,80.49,-0.47,0.47,-44.55,15.73,24.18,174.55,0.000000,0.000000,0
868.88,4.41,0.04,-0.25,79.55,0.47,0.47,-44.91,23.55,11.02,206.16,0.000000,0.000000,0
869.10,4.70,-0.10,-0.25,78.61,-0.47,1.41,-44.00,18.18,-5.20,236.87,0.000000,0.000000,0
869.31,4.98,-0.04,-0.16,77.67,0.47,1.41,-43.73,3.45,-9.08,273.94,1214.233398,0.000000,0
869.52,5.00,-0.12,-0.23,76.73,0.47,0.00,-43.91,-8.18,2.76,309.85,1214.233398,0.000000,0
869.74,5.00,0.01,-0.23,74.84,0.47,0.47,-44.73,-2.36,20.51,351.49,0.000000,0.000000,0
869.95,5.00,-0.02,-0.24,75.79,-0.47,1.41,-45.27,14.73,22.86,393.81,0.000000,0.000000,0
870.16,5.00,0.09,-0.32,67.78,-1.41,0.00,-44.82,19.45,-1.33,436.81,0.000000,0.000000,0
870.38,5.00,0.15,-0.16,48.01,-2.82,-0.94,-43.27,4.18,-9.59,484.05,0.000000,0.000000,0
870.59,4.72,0.08,-0.20,19.30,-2.35,-0.94,-43.27,-7.55,0.31,538.86,0.000000,0.000000,0
870.80,4.10,0.13,-0.19,-0.94,-2.82,1.41,-43.64,-8.36,15.10,600.13,0.000000,0.000000,0
871.01,3.07,0.07,0.11,-9.41,-4.24,0.00,-44.73,1.18,22.76,659.60,0.000000,0.000000,0
871.23,3.11,-0.05,-0.32,-8.00,-0.47,0.00,-45.45,11.27,22.96,714.11,0.000000,0.000000,0
871.44,2.92,0.17,-0.00,-8.94,-2.35,-1.41,-46.00,19.00,16.22,774.45,0.000000,0.000000,0
871.65,2.91,-0.06,-0.10,-8.47,-0.94,0.94,-45.36,22.00,7.65,830.53,0.000000,0.000000,0
871.87,3.12,0.11,-0.23,-8.47,-1.41,0.00,-44.55,18.64,-3.16,887.86,0.000000,0.000000,0
872.08,3.05,0.01,-0.01,-6.59,0.47,0.94,-43.91,11.00,-9.29,943.82,0.000000,0.000000,0
872.29,3.14,-0.11,-0.10,-7.06,-0.94,-1.88,-43.09,0.91,-9.08,999.98,0.000000,0.000000,0
872.51,3.39,0.08,-0.20,-8.47,-0.47,-0.94,-43.91,-7.91,1.22,1053.44,0.000000,0.000000,0
872.72,3.33,0.05,-0.07,-6.59,-0.94,0.47,-44.18,-7.55,12.96,1108.05,0.000000,0.000000,0
872.93,3.44,-0.04,-0.19,-5.65,-1.41,-0.47,-45.09,-0.09,21.73,1159.92,0.000000,0.000000,0
873.14,3.54,0.06,-0.09,-5.65,-0.94,1.41,-45.64,10.82,23.57,1212.70,0.000000,0.000000,0
873.36,3.52,0.07,-0.11,-6.12,-2.82,2.35,-46.00,19.45,15.61,1264.34,0.000000,0.000000,0
873.57,3.51,-0.04,-0.14,-4.71,-1.41,0.47,-45.18,20.91,3.57,1313.93,0.000000,0.000000,0
873.78,3.67,0.03,-0.19,-4.24,-0.47,0.47,-45.00,14.91,-6.12,1364.86,0.000000,0.000000,0
874.00,3.61,0.09,-0.15,-3.77,-1.41,-0.47,-43.45,3.45,-9.49,1414.62,0.000000,0.000000,0
874.21,3.39,0.02,-0.07,-4.24,-0.94,0.00,-43.00,-5.64,-3.27,1462.82,0.000000,0.000000,0
874.42,3.53,0.02,-0.22,-4.24,0.00,-0.94,-44.18,-8.55,7.65,1511.26,0.000000,0.000000,0
874.64,3.50,0.07,-0.12,-3.77,-1.88,0.00,-44.09,-4.36,18.98,1560.04,0.000000,0.000000,0
874.85,3.50,0.11,-0.12,-4.71,-0.94,-0.94,-45.73,9.91,22.65,1605.21,0.000000,0.000000,0
875.06,3.46,0.01,-0.05,-4.71,0.47,-1.41,-45.82,19.18,16.94,1652.29,0.000000,0.000000,0
875.27,3.68,0.03,-0.21,-4.71,-1.41,-0.94,-44.91,21.36,4.18,1696.61,0.000000,0.000000,0
875.49,3.66,-0.00,-0.10,-4.24,-0.94,0.47,-44.73,15.45,-5.41,1741.82,0.000000,0.000000,0
875.70,3.73,-0.00,-0.16,-4.71,-0.94,-0.47,-43.55,4.64,-9.39,1785.74,0.000000,0.000000,0
875.91,3.62,-0.06,-0.07,-5.18,-1.41,-0.47,-44.00,-5.18,-2.96,1828.45,0.000000,0.000000,0
876.13,3.70,0.03,-0.07,-3.30,0.47,0.00,-44.64,-6.82,8.78,1871.58,0.000000,0.000000,0
876.34,3.73,-0.15,-0.23,-3.77,-0.94,-0.94,-45.55,-1.91,18.88,1913.38,0.000000,0.000000,0
876.55,3.77,0.11,-0.12,-3.30,-0.94,0.00,-45.45,8.82,23.37,1956.77,0.000000,0.000000,0
876.76,3.76,-0.03,-0.23,-3.30,-0.94,-0.47,-45.91,17.91,16.33,1996.33,0.000000,0.000000,0
876.98,3.61,0.05,-0.04,-3.30,-0.47,0.00,-45.64,20.45,6.12,2037.94,0.000000,0.000000,0
877.19,3.66,-0.00,-0.22,-2.82,-0.47,-0.94,-44.82,12.36,-7.24,2076.40,0.000000,0.000000,0
877.40,3.51,-0.01,-0.05,-3.30,-0.47,0.00,-44.00,1.82,-7.24,2117.04,0.000000,0.000000,0
877.62,3.59,0.00,-0.19,-2.82,0.00,0.00,-43.91,-5.64,-0.71,2154.49,0.000000,0.000000,0
877.83,3.48,-0.09,-0.11,-3.30,-0.47,-0.94,-44.18,-7.09,11.22,2192.80,0.000000,0.000000,0
878.04,3.57,0.07,-0.13,-2.82,-0.94,0.94,-45.73,-0.09,20.10,2230.90,0.000000,0.000000,0
878.26,3.52,-0.02,-0.15,-2.35,-0.94,-0.47,-46.64,9.64,21.43,2267.21,0.000000,0.000000,0
878.47,3.57,-0.02,-0.17,-2.35,-0.47,-0.94,-46.09,18.00,16.73,2304.13,0.000000,0.000000,0
878.68,3.62,0.00,-0.16,-2.35,-0.94,0.00,-45.73,20.36,5.82,2339.49,0.000000,0.000000,0
878.89,3.62,-0.01,-0.17,-1.88,-0.94,-0.47,-45.18,15.55,-4.08,2374.73,0.000000,0.000000,0
879.11,3.60,0.00,-0.14,-2.82,-0.94,0.00,-44.73,5.73,-7.65,2409.85,0.000000,0.000000,0
879.32,3.64,0.06,-0.19,-1.41,-0.94,-0.94,-44.18,-5.64,0.00,2443.61,0.000000,0.000000,0
879.53,3.49,-0.04,-0.12,-2.35,-0.47,-1.88,-44.64,-6.73,11.02,2477.36,0.000000,0.000000,0
879.75,3.40,0.09,-0.06,-1.41,0.00,0.00,-45.55,-0.27,19.49,2510.98,0.000000,0.000000,0
879.96,3.29,0.02,-0.12,-1.41,0.47,-1.41,-46.55,9.18,21.02,2542.85,0.000000,0.000000,0
880.17,3.29,-0.02,-0.14,-1.88,-0.47,-0.47,-46.27,16.82,16.53,2574.70,0.000000,0.000000,0
880.39,3.25,0.01,-0.12,-1.41,-1.41,0.47,-46.27,20.00,7.76,2606.65,0.000000,0.000000,0
880.60,3.28,0.06,-0.18,-1.88,0.00,0.47,-45.55,17.36,-1.53,2638.96,0.000000,0.000000,0
880.81,3.19,-0.03,-0.20,-1.41,-0.94,-0.47,-44.73,8.64,-7.24,2666.44,0.000000,0.000000,0
881.02,3.05,0.08,-0.04,-1.41,-0.47,-0.94,-44.82,0.45,-5.31,2698.18,0.000000,0.000000,0
881.24,2.98,0.10,-0.13,-0.94,-0.47,-0.47,-44.45,-4.73,-0.31,2726.60,0.000000,0.000000,0
881.45,2.83,-0.07,-0.11,-1.41,0.00,-0.94,-44.64,-6.73,7.76,2754.72,0.000000,0.000000,0
881.66,2.72,-0.05,0.01,-1.41,0.00,0.00,-45.45,-1.00,18.37,2784.45,0.000000,0.000000,0
881.87,2.79,0.03,-0.15,-1.41,0.00,-0.47,-46.00,7.09,21.22,2811.97,0.000000,0.000000,0
882.08,2.76,-0.07,-0.22,-1.41,-0.47,0.00,-46.36,13.18,19.59,2838.79,0.000000,0.000000,0
882.30,2.72,0.01,-0.16,-1.41,-0.47,-0.47,-46.36,17.91,14.39,2866.07,0.000000,0.000000,0
882.51,2.70,0.12,-0.21,-1.41,-0.47,0.00,-46.09,19.00,6.63,2892.78,0.000000,0.000000,0
882.72,2.64,0.09,-0.22,-0.94,-0.94,-0.47,-45.82,15.64,-1.53,2918.28,0.000000,0.000000,0
882.93,2.52,0.05,-0.12,-0.94,-0.94,-0.94,-45.09,9.27,-5.92,2944.22,0.000000,0.000000,0
883.14,2.36,0.06,-0.01,-0.94,0.00,-1.88,-44.73,3.82,-6.02,2966.33,0.000000,0.000000,0
883.36,2.25,0.00,-0.00,-1.41,0.00,-0.94,-44.64,-0.64,-3.98,2990.84,0.000000,0.000000,0
883.57,2.18,-0.06,-0.05,-0.94,0.00,-0.47,-45.00,-3.36,1.02,3015.94,0.000000,0.000000,0
883.78,2.15,-0.10,-0.09,-0.94,0.00,-0.47,-45.73,-4.18,7.24,3039.52,0.000000,0.000000,0
883.99,2.26,-0.07,-0.17,-1.41,0.00,-0.94,-45.91,-2.64,13.37,3062.51,0.000000,0.000000,0
884.21,2.28,-0.02,-0.18,-1.41,-0.47,0.00,-46.55,2.00,18.98,3085.15,0.000000,0.000000,0
884.42,2.21,0.01,-0.11,-0.94,-0.47,-0.94,-46.36,7.36,20.41,3107.19,0.000000,0.000000,0
884.63,2.12,0.06,-0.03,-0.94,-0.47,0.00,-46.73,13.00,18.57,3128.35,0.000000,0.000000,0
884.85,2.06,0.07,-0.03,-0.94,0.00,-0.94,-46.55,17.64,13.78,3148.90,0.000000,0.000000,0
885.06,2.00,0.05,-0.06,-0.94,-0.47,-0.94,-46.18,19.91,7.96,3169.88,0.000000,0.000000,0
885.27,1.93,-0.01,-0.11,-0.94,-0.47,-0.47,-45.27,18.73,1.63,3190.78,0.000000,0.000000,0
885.48,1.89,-0.04,-0.12,-0.94,0.47,-1.41,-45.27,16.00,-2.76,3211.59,0.000000,0.000000,0
885.70,1.88,-0.03,-0.12,-0.94,-0.47,-0.94,-45.09,11.73,-5.71,3229.90,0.000000,0.000000,0
885.91,1.91,-0.02,-0.14,-0.47,-0.47,-0.47,-44.73,6.91,-6.43,3248.52,0.000000,0.000000,0
886.12,1.96,0.00,-0.20,-0.94,0.00,-0.47,-44.82,1.45,-5.41,3267.30,0.000000,0.000000,0
886.34,1.99,-0.02,-0.25,-0.94,0.00,-0.94,-44.27,-3.55,-2.04,3285.86,0.000000,0.000000,0
886.55,1.94,-0.06,-0.19,-0.94,-0.47,0.00,-44.27,-7.73,5.71,3302.29,0.000000,0.000000,0
886.76,1.87,-0.04,-0.10,-0.94,-0.94,-0.94,-44.36,-6.55,12.55,3318.89,0.000000,0.000000,0
886.98,1.80,0.03,-0.06,-0.94,0.47,-0.47,-44.82,-3.27,17.45,3336.73,0.000000,0.000000,0
887.19,1.75,0.06,-0.06,-0.47,0.47,-0.47,-45.64,1.45,20.82,3351.76,0.000000,0.000000,0
887.40,1.70,0.03,-0.09,-0.47,0.00,-0.94,-46.36,6.27,21.22,3367.49,0.000000,0.000000,0
887.61,1.63,-0.03,-0.07,-0.94,-0.47,-0.47,-46.09,11.00,20.31,3382.56,0.000000,0.000000,0
887.83,1.53,-0.05,-0.01,0.00,-0.47,-0.47,-46.18,15.55,18.78,3397.39,0.000000,0.000000,0
888.04,1.50,0.00,-0.00,-0.94,0.00,0.00,-46.00,19.00,15.71,3410.74,0.000000,0.000000,0
888.25,1.52,0.06,-0.05,-0.47,-0.94,-0.94,-45.09,21.45,10.51,3425.20,0.000000,0.000000,0
888.47,1.54,0.08,-0.12,-0.94,0.00,-0.94,-45.00,22.09,4.69,3438.46,0.000000,0.000000,0
888.68,1.52,0.05,-0.17,-0.47,0.00,-0.47,-44.27,19.27,-3.16,3451.45,0.000000,0.000000,0
888.89,1.47,0.00,-0.19,-0.94,0.00,0.00,-44.36,14.91,-7.04,3464.20,0.000000,0.000000,0
889.11,1.43,-0.04,-0.18,0.00,-0.47,-0.47,-43.73,10.18,-8.98,3475.58,0.000000,0.000000,0
889.32,1.39,-0.05,-0.16,0.00,0.00,-0.47,-44.00,5.09,-8.78,3488.22,0.000000,1214.566650,0
889.53,1.37,-0.03,-0.15,0.00,-0.47,-0.47,-44.00,0.82,-7.55,3498.67,0.000000,1214.566650,0
889.75,1.37,-0.01,-0.16,0.00,-0.47,-0.47,-43.73,-2.82,-5.00,3510.23,0.000000,0.000000,0
889.96,1.38,-0.02,-0.18,-0.47,0.47,0.00,-43.55,-6.00,-1.12,3519.60,0.000000,0.000000,0
890.17,1.35,-0.05,-0.19,0.00,-0.47,-0.94,-43.36,-8.27,3.06,3529.67,0.000000,0.000000,0
890.38,1.32,-0.09,-0.18,-0.47,0.00,-0.94,-43.45,-9.27,8.27,3539.06,0.000000,0.000000,0
890.60,1.28,-0.12,-0.14,-0.47,0.00,-0.94,-43.73,-8.55,13.88,3547.77,0.000000,0.000000,0
890.81,1.23,-0.14,-0.09,0.00,-0.47,-0.94,-43.64,-6.27,19.18,3557.18,0.000000,0.000000,0
891.02,1.19,-0.13,-0.04,0.00,-0.47,-0.47,-43.36,-1.00,25.20,3565.21,0.000000,0.000000,0
891.23,1.16,-0.10,0.01,0.00,0.00,-0.47,-42.91,3.91,27.76,3572.56,0.000000,0.000000,0
891.45,1.13,-0.07,0.04,0.00,0.00,-0.94,-42.82,9.73,28.37,3579.35,0.000000,0.000000,0
891.66,1.11,-0.02,0.05,0.00,-0.47,-0.94,-42.55,15.82,27.76,3586.43,0.000000,0.000033,0
891.87,1.08,0.02,0.04,-0.47,0.00,-0.47,-42.73,20.82,24.59,3592.54,0.000000,0.000033,0
892.09,1.06,0.05,0.04,-0.47,-0.47,-0.47,-42.27,25.09,20.71,3598.52,0.000000,0.000000,0
892.30,1.03,0.07,0.03,0.00,0.00,-0.47,-41.45,28.18,15.61,3603.67,0.000000,0.000000,0
892.51,1.00,0.09,0.02,-0.47,-0.47,-0.47,-40.64,30.36,9.69,3609.09,0.000000,0.000000,0
892.73,0.97,0.12,0.02,0.00,-0.47,-0.47,-39.27,31.09,3.16,3613.27,0.000000,0.000000,0
